Date,Product_Category,Product_Name,Units_Sold,Unit_Price,Cost_of_Production,Shipping_Cost,Inventory_Storage_Cost,Inventory_Rotation,Total_Cost,Total_Revenue,Profit,Currency,Discount,Returns
2022-01-15,Canicross,Canicross Harness,120,80000,40000,10000,2000,30,9600000,7200000,2400000,COP,0.0,5
2022-02-20,Agility,Agility Tunnel,45,150000,80000,20000,5000,60,6750000,3600000,3150000,COP,0.1,10
2022-03-05,Senderismo,Hiking Leash,90,50000,25000,8000,1000,45,4500000,2250000,2250000,COP,0.0,5
2022-04-17,Canicross,Dog Running Shoes,110,60000,30000,10000,2500,25,6600000,3300000,3300000,COP,0.1,0
2022-05-22,Senderismo,Hiking Dog Backpack,60,90000,45000,10000,3000,40,5400000,2700000,2700000,COP,0.05,5
2022-06-15,Agility,Agility Weave Poles,35,70000,35000,8000,1500,70,2450000,1225000,1225000,COP,0.0,10
2022-07-10,Canicross,Canicross Belt,95,100000,50000,12000,2000,50,9500000,4750000,4750000,COP,0.0,5
2022-08-25,Senderismo,Hiking Harness,70,65000,30000,9000,1200,35,4550000,2275000,2275000,COP,0.0,0
2022-09-12,Agility,Agility Jump Set,50,85000,40000,15000,4000,55,4250000,2000000,2250000,COP,0.1,10
2022-10-07,Canicross,Canicross Leash,80,70000,35000,11000,1800,60,5600000,2800000,2800000,COP,0.05,10
2022-11-18,Senderismo,Hiking Collar,55,40000,20000,7000,1200,30,2200000,1100000,1100000,COP,0.1,0
2022-12-25,Agility,Agility Tunnel,40,150000,80000,20000,5000,60,6000000,3200000,2800000,COP,0.0,10
2023-01-12,Canicross,Dog Running Shoes,140,60000,30000,10000,2500,20,8400000,4200000,4200000,COP,0.1,5
2023-02-28,Senderismo,Hiking Leash,85,50000,25000,8000,1000,45,4250000,2125000,2125000,COP,0.0,10
2023-03-19,Agility,Agility Jump Set,60,85000,40000,15000,4000,55,5100000,2400000,2700000,COP,0.1,5
2023-04-25,Canicross,Canicross Belt,100,100000,50000,12000,2000,50,10000000,5000000,5000000,COP,0.05,0
2023-05-17,Senderismo,Hiking Dog Backpack,75,90000,45000,10000,3000,40,6750000,3375000,3375000,COP,0.0,10
2023-06-10,Agility,Agility Weave Poles,45,70000,35000,8000,1500,70,3150000,1575000,1575000,COP,0.0,5
2023-07-18,Canicross,Canicross Harness,130,80000,40000,10000,2000,30,10400000,7200000,3200000,COP,0.1,0
2023-08-22,Senderismo,Hiking Harness,65,65000,30000,9000,1200,35,4225000,1950000,2275000,COP,0.1,5
2023-09-05,Agility,Agility Jump Set,55,85000,40000,15000,4000,55,4675000,2200000,2475000,COP,0.0,10
2023-10-12,Canicross,Dog Running Shoes,145,60000,30000,10000,2500,20,8700000,4350000,4350000,COP,0.1,10
2023-11-30,Senderismo,Hiking Leash,95,50000,25000,8000,1000,45,4750000,2375000,2375000,COP,0.1,10
2023-12-15,Agility,Agility Tunnel,50,150000,80000,20000,5000,60,7500000,4000000,3500000,COP,0.0,10
